Category,Command,Method,APIURIDomain,APIURIPath
management,checkNameAvailability,POST,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/checkNameAvailability?accountName={accountName}
management,createAccount,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}
management,defaultAccount,GET,management.azure.com,/providers/Microsoft.Purview/getDefaultAccount
management,deleteAccount,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}
management,deletePrivateEndpoint,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName}
management,listKeys,POST,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/listkeys
management,listOperations,GET,management.azure.com,/providers/Microsoft.Purview/operations
management,listPrivateLinkResources,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateLinkResources/{groupId}
management,putPrivateEndpoint,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName}
management,readAccount,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}
management,readAccounts,GET,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/accounts
management,readPrivateEndpoint,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName}
management,readPrivateEndpoints,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections
management,removeDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/removeDefaultAccount
management,setDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/setDefaultAccount
management,updateAccount,PATCH,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}
credential,delete,DELETE,.proxy.purview.azure.com,/credentials/{credentialName}
credential,put,PUT,.proxy.purview.azure.com,/credentials/{credentialName}
credential,read,GET,.proxy.purview.azure.com,/credentials/{credentialName}
entity,create,POST,.catalog.purview.azure.com,/atlas/v2/entity
entity,createBulk,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk
entity,createBulkClassification,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk/classification
entity,createBulkSetClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk/setClassifications
entity,createClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications
